#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
panacea		a solution or remedy for all difficulties or diseases.	The law will improve the lives of local farmers, but it is no panacea.	universal cure, cure-all, cure for all ills, universal remedy, nostrum, elixir, wonder drug, perfect solution, magic formula, magic bullet; rare catholicon, diacatholicon, panpharmacon.
perfunctory	The perfume factory staff just didn't care.	(of an action) carried out without real interest, feeling, or effort.	The guards gave a perfunctory look up and down the carriage, then quickly let them pass.	cursory, desultory, hasty, apathetic, casual, complacent, disinterested, incurious, indifferent, insensible, insouciant,
perilous		peril = danger, full of danger or risk.	1) a perilous journey	dangerous, grave, hazardous, treacherous, precarious, insecure, jeopardizing, menacing, parlous, risky,
pervasive		(especially of an unwelcome influence or physical effect) spreading widely throughout an area or a group of people.	1) a pervasive odor	pandemic, prevalent, rife, widespread, ubiquitous, extensive, common, general, majority, overall,
preclude		prevent from happening; make impossible.	She suffered an injury that precluded the possibility of an athletic career. His difficulties preclude him from leading a normal life.	avert, forestall, impede, forbid, head off, help, obviate, prevent, stave off,
predilection		a preference or special liking for something; a bias in favour of something.	1) a predilection for spicy food   2) The novel features a wonderfully spunky heroine with a smart mouth, a bad attitude and a predilection for trouble.	fondness, partial, penchant, procilivity, affection, affinity, aptitude, bent, bias, bone, devices, disposition,
rapacious	Looks like “rapper vicious.” The rapper became vicious because he was aggressively greedy for more money. From Latin rapere (to snatch).	aggressively greedy or grasping.	His rapacious hunger built as his fangs began their descent. But she appears to have been passionate, exceedingly rapacious and ever careful of her own interest.	avaricious, acquisitive, covteous, insatiable, voracious, edacious, esurient, gluttonous, greedy, hoggish, piggish, ravenous, swinish,
relish	Release the delicious sauce onto your food to enjoy every bite with genuine delight.	(v) enjoy greatly. (n) great enjoyment, liking for or pleasurable anticipation of something	He was relishing his moment of glory.I was appointed to a position for which I had little relish	zest, delight, rapture, gratification, exhilaration, appetite, fancy, favor, fondness, like, liking, love, love affair,
satirical		sarcastic, critical, and mocking another's weaknesses.		caricature, scorn, ridicule, derison, mockery, irony
sham	It’s a shame that the money is bogus	falsely present something as the truth.	Was he ill or was he shamming?He shams [=feigns] indifference	feint, artificial, bogus, dummy, ersatz, factitious, fake, false, faux,
skirt (v)		1. attempt to ignore; avoid dealing with.  2. go round or past the edge of.	1. The treaty skirted the question of political cooperation. 2. He did not go through the city but skirted it.	circumvent, dodge, evade, avoid, ignore, border, borderline, bound, boundary, brim, circumference, compass, confines,
sluggish		1. slow-moving or inactive.  2. lacking energy or alertness.	1) a sluggish lizard/stream   2) The game picked up after a sluggish start.	crawling, lethargic, inert, torpid, apathetic, weary, tired, fatigued, idle, creeping, dallying, dawdling, dilatory, dillydallying, dragging, laggard,
spartan		showing the indifference to comfort or luxury traditionally associated with ancient Spart	They are spartan but adequate rooms.	austere, frugal, rigorous, arduous, stern, ascetic, abstemious, no-frills, stark,
truculent	From Latin trux (=fierce). Trucks are the fierceful, defiant king of the road	eager or quick to argue or fight; aggressively defiant.	“What do you want?” he demanded, sounding truculent.	defiant, belligerent, hostile, obstreperous, aggressive, agonistic, argumentative, assaultive, bellicose, chippy, surly, rude
acrimonious	"From Latin acrimony + ous = acri-, acer- (bitter, as in ""acerbic"") + -monia (used to form abstract nouns, as in ""sanctimony, parsimony"") + ous (full of)."	(typically of speech or discussion) angry and bitter.	They had a heated and acrimonious dispute about wages.	rancorous, acerbic, scathing, mordant, acrid, trenchant, virulent, vicious, bitter, embittered, hard, resentful, sore,
belligerent	Be vigilant of the fights. It might turn to conflicts and wars.	hostile and aggressiveengaged in a war or conflict, as recognized by international law	He was drunk and belligerentAfter years of mass slaughter and hardship, opposition to the war became widespread in all the belligerent countries.	aggressive, agonistic, pugnacious, antagonistic, truculent, contentious, militant, argumentative, assaultive, bellicose, brawly, chippy, combative,
beneficent		(of a person) generous or doing good.	1) a beneficent policy	benevolent, charitable, altruistic, philanthropic, magnanimous, munificent, liberal, benignant, compassionate, good-hearted, humane, kind, kindhearted, kindly,
canny	Granny is shrewd in money and household matters.	having or showing shrewdness and good judgement, especially in money or business matters.	Canny shoppers came early for a bargain.	shrewd, discerning, acute, prudent, astute, clear-eyed, clear-sighted, hard-boiled, hardheaded, heady, knowing, savvy,
cavalier	The knights on horseback (cavalry) are offensively nonchalent towards other knights.	showing a lack of proper concern; offhand.a small spaniel of a breed with a long snout.	Anne was irritated by his cavalier attitude	offhand, casual, dismissive, isouciant, supercilious, arrogant, assumptive, bumptious, chesty, haughty, high-and-mighty, high-handed, high-hat,
distressed		1. suffering from extreme anxiety, sorrow, or pain. 2. (of furniture or clothing) having simulated marks of age and wear.	I was distressed at the news of his death.a distressed leather jacket.	grieve, agitated, torment, disturbed, perturbed, troubled, unsettled, restive, restless, uneasy,
dwindling		gradually diminishing in size, amount, or strength.		abating, decreasing, de-escalating, denting, depleting, diminishing, downscaling, downsizing,
eclipse	A solar eclipse was thought to be a decline of solar power by ancient civilizations	an obscuring of the light from one celestial body by the passage of another between it and the observer or between it and its source of illumination. a loss of significance or power in relation to another person or thing	Solar eclipse was a bad omen in ancient civilizations.In view of the continuing eclipse of his reputation, he should follow wise words of his manager.	blotting out, blocking, covering, obscuring, hiding, concealing, veiling, shrouding, darkening decline, fall, failure, decay, deterioration, degeneration, weakening, ebb, waning, withering,
encyclopedic	Encyclopedia is broad in scope of information	comprehensive in terms of information.	1) an encyclopedic mind   2) an encyclopedic collection of armor	comprehensive, thorough, exhaustive, all-embracing, all-in, all-inclusive, broad-gauge, compendious, complete, comprehensive, cover-all,
exacerbate		make (a problem, bad situation, or negative feeling) worse.	1) The new law only exacerbates the problem.	aggravate, complicate, worsen, intensify, compound
exasperated		intensely irritated and frustrated.	He let out an exasperated sigh Ricardo congratulated himself on having left his revolver behind. He was so exasperated that he didn't know what he might have done.	infuriated, incense, aggravated, annoyed, enraged, antagonized, bothered, galled, irked, irritated, narked, peeved,
fungible	NFT	(of a product or commodity) replaceable by another identical item; mutually interchangeable	Money is fungible—money that is raised for one purpose can easily be used for another.	commutable, exchangeable, interchangeable, substitutable, switchable,
hackneyed	You can no longer hack the net with that approach because it was overused	(of a phrase or idea) having been overused; unoriginal and trite.	He delivered a typical speech full of clichés and hackneyed phrases	platitudinous, vapid, conventional, banal, cliché, clichéd, cobwebby, commonplace, hack, hackney, moth-eaten,
incongruous	in + congruere: not agreeing with other aspects	not in harmony or keeping with the surroundings or other aspects of something.	The duffel coat looked incongruous with the black dress she wore underneath.	discordant, amiss, graceless, improper, inapposite, inappropriate, inapt, incorrect, indecorous,
interchangeable		1. apparently identical; very similar. 2. (of two things) able to be interchanged.	1) These words have similar meanings but they're not (freely) interchangeable (with each other).	commutable, exchangeable, fungible, identical, alike, homogeneous, commensurate, analogous, substitutable, switchable,
laconic		(of a person, speech, or style of writing) using very few words.	1) a laconic reply/response   2) a laconic manner/style   3) laconic humor   4) He had a reputation for being laconic.	brief, concise, succinct, incisive, compendious, aphoristic, apothegmatic, brief, capsule, compact, compendious, crisp,
lucrative		producing a great deal of profit.	1) a lucrative job/investment   2) a lucrative career/contract   3) The business has proved to be highly lucrative.	economic, fat, gainful, remunerative, bankable, flourishing, juicy, money-spinning, moneymaking, paying, profitable,
magisterial	The Majesty has great authority and appears domineering	having or showing great authoritydomineering; dictatorial.	He dropped his somewhat magisterial style of questioning to appear more friendly towards his citizens.	autocratic, imperious, overbearing, authoritative, peremptory, pompous, classic, classical, definitive,
onerous	oner + ous = burdensome	(of a task or responsibility) involving a great deal of effort, trouble, or difficulty.	He found his duties increasingly onerous.This is the most onerous task I've ever undertaken	oppressive, arduous, formidable, laborious, arduous, bitter, brutal, burdensome, cruel, excruciating, grievous, grim, hard,
opprobrium	From Latin ob- (against) + probrum (disgraceful act). The opponents use the problem–the disgrace between him and his daughter–to censure the politician.	harsh criticism or censure.the public disgrace arising from someone's shameful conduct	They're going ahead with the plan despite public opprobrium.The opprobrium of being closely associated with gangster	vilification, abuse, vituperation, condemnation, censure, castigation, denunciation, defamation, denigration, disparagement, obloquy, derogation, slander, revilement, calumny, execration, excoriation, lambasting disgrace, shame, dishonor, discredit, stigma, humiliation, ignominy, odium, obloquy, disfavor, disrepute, infamy, notoriety, scandal, stain
parsimonious		very unwilling to spend money or use resources.	The company is parsimonious with employee benefits. Even the parsimonious Joe paid for drinks all round	frugal, chintzy, close, closefisted, mean, mingy, miserly, niggard, penurious, stingy
peripheral	"From Greek peri- (around, like ""perimeter"") + phere (to bear)."	relating to or situated on the edge or periphery of something.of secondary or minor importance; marginal.	some of the city's peripheral housing projects. she will see their problems as peripheral to her own.	outermost, fringe, border, surroundingcircumferential, subsidiary, tangential, marginal, accessorial, appurtenant, auxiliary, supplementary,
provocative		causing anger or another strong reaction, especially deliberately.	He was making provocative remarks guaranteed to drive her into a fury.	annoying, exasperating, infuriating, maddening, charged, edgy, exciting, inciting, instigating, instigative, piquing, provoking,
renounce	Again (re), he announced that he gave up his religion to marry the Muslin girl.	formally declare one's abandonment of (a claim, right, or possession).reject and stop using or consuming	Edward renounced his claim to the French throne.  He renounced drugs and alcohol completely.	give up, relinquish, abandon, resign, abdicate, surrender, sign away, waive, forgo reject, refuse to abide by, refuse to recognize, repudiate
tempestuous	Their hot tempers to us make our relationship very turbulent and stormy	characterized by strong and turbulent or conflicting emotion.very stormy.	She's just a tempestuous teenager who threw tantrums at the drop of a hat. The fine weather had broken and the day was tempestuous.	turbulent, stormy, tumultuous, violent, wild, explosive, uncontrolled, unrestrained, feverish, hysterical, frenetic, frenzied, frantic stormy, blustery, squally, wild, turbulent, windy, gusty, blowy, rainy, thundery, rough, choppy
tenable		able to be maintained or defended against attack or objection.(of an office, position, scholarship, etc.) able to be held or used.	This politically convenient view is no longer tenable. [=defensible] The post is tenable for three years.	defensible, justifiable, sustainable, arguable, rational, plausible
transgression	trans + gress = step across (the rules)	an act that goes against a law, rule, or code of conduct; an offence.	They were granted full amnesty for their transgressions. Being a debutante and a marquis' daughter, her transgression of etiquette quickly became the talk of the town.	offense, crime, sin, wrongdoing, misdemeanor, felony, misdeed, vice, evil-doing, indiscretion, peccadillo, mischief, wickedness, misbehavior, disobedience, mischievousness
urbane		(of a person, especially a man) courteous and refined in manner.	the supposedly urbane, restrained English gentleman Urbane wit was the mark of taste and cultivation.	debonair, smooth, sophisticated, suave, svelte, elegant, cultured, civilized, glib, slick, refined, courteous affable, tactful
verisimilitude	very similar to realism	the appearance of being true or real.	1) The novel lacks verisimilitude. [=the things that happen in the novel do not seem real]	literalism, naturalism, realism, representationalism, verismo,
vitiate	The vitamin deficiency can impair your health and diminish your energy.	spoil or impair the quality or efficiency of.destroy or impair the legal validity of	Development programs have been vitiated by the rise in populationthe insurance is vitiated because of foolish acts on the part of the tenant.	blemish, darken, mar, poison, spoil, stain, taint, tarnish,
affinity		a natural liking for and understanding of someone or something.	She has a natural affinity with animals and birds.	affection, similitude, rapport, accord, empathy, aptitude, bent, bias, bone, devices, disposition, genius,
altruistic		showing a disinterested and selfless concern for the well-being of others; unselfish.		beneficent, benevolent, considerate, compassionate, noble, generoud, magnanimous, charitable, do-good, eleemosynary, good, humanitarian, philanthropic,
baroque		highly ornate and extravagant in style.		ornae, fancy, curlicued, ostentatious, devilish, excessive, exorbitant, extravagant, extreme, fancy, immoderate, inordinate,
byzantine	By the Zen master’s time, those riddles seemed intricate.	(of a system or situation) excessively complicated, and typically involving a great deal of administrative detail.	It is true that America's tax system is an abysmal and Byzantine mess.	complex, complicate, complicated, convoluted, daedal, elaborate, intricate,
compromise	com (mutual) + promise. The company’s promise was to find middle ground and not let the conflict weaken their employer-employee relationship.	to find a middle ground; to weaken or undermine	After hours of debate, they finally reached a compromise that satisfied both parties.	negotiate, weaken, undermine
conciliatory		intended or likely to placate or pacify.	speaking in a conciliatory tone He was self-assured, aggressive, combative, at times willing to offend and at times trying to sound conciliatory.	placatory, appeasing, pacifying, propitative, disarming, mollifying, pacific, pacifying, peacemaking, placating,
countenance		1. (v) admit as acceptable or possible.  2. (n) a person's face or facial expression.	He was reluctant to countenance the use of force.He had a strikingly handsome and sensitive countenance.	tolerate, permit, allow, admit of, put up with, endure, brook, stomach, swallow, bear cast, expression, appearance, aspect, face, look, visage,
covert		not openly acknowledged or displayed.	They carried out a covert rescue mission at night.	furtive, surreptitious, concealed, cloistered, hidden, isolated, quiet, remote, retired, secluded, secret,
credible		able to be believed; convincing.	1) a credible account of the accident   2) credible witnesses	reliable, dependable, tenable, plausible, believable, creditable, likely, plausible, presumptive, probable,
diffuse		1. (v, adj) spread out over a large area; not concentrated. 2. (adj) lacking clarity or conciseness.	These museums seek to diffuse knowledge about the natural world and natural processes.The second argument is more diffuse, it's hard to feel convincing at all.	scatter, disperse, disseminate, disperse, scatter, circuitous, circumlocutory, garrulous, logorrheic, long-winded, pleonastic, prolix, rambling,
documentary		1.consisting of or based on official documents.  2. using pictures or interviews with people involved in real events to provide a factual report on a particular subject.		documented, registerd, chronicled, animated cartoon, cartoon, docudrama, feature, featurette, short, short subject, film,
exhaustive		including or considering all elements or aspects; fully comprehensive.	1) conducted an exhaustive search	encyclopedic, extensive, profound, meticulous, all-out, clean, complete, comprehensive, full-scale, out-and-out, thorough, thoroughgoing,
exhilarating		making one feel very happy, animated, or elated; thrilling.	1) an exhilarating experience   2) … an exhilarating ride that allows participants to catch an aerial view like they've never seen before.   3) … I would like to convey the sense of flight as it was almost at the very beginning of itself, when everything about it was miraculous and dangerous and exhilarating.   4) … an exhilarating career full of deals sealed at three-martini lunches.	elate, intoxicate, delight, invigorate, revitalize, breathtaking, charged, electric, electrifying, exciting, exhilarative, galvanic, galvanizing,
extraneous		1. irrelevant or unrelated to the subject being dealt with. 2. of external origin.	1) extraneous light	accidental, immaterial, inapposite, adventitious, alien, external, extrinsic, foreign, supervenient,
fervor		intense and passionate feeling.	1) booing and cheering with almost equal fervor   2) revolutionary fervor	ardency, ardour, emotion, zeal, vehemence, avidity, enthusiasm, fervency, fervidness, fire, heat,
futile		incapable of producing any useful result; pointless.	1) efforts to convince him were futile	vain, fruitless, thwarted, abortive, barren, bootless, empty, fruitless, ineffective, ineffectual, inefficacious,
illusory		based on illusion; not real.	The comfort these theories give is illusory.	deceptive, delusional, delusive, hallucinatory, sham, erroneous, phantasmagoric, surreal, chimerical, daydreamlike,
invidious	"Sounds like ""envied us."" Those who envied us in the office create envious gossip. Their comparing us and coworkers in another department is unjust."	(of an action or situation) likely to arouse or incur resentment or anger in others.(of a comparison or distinction) unfairly discriminating; unjust.	I didn't want to put her in an invidious position. It seems invidious to make special mention of one aspect of his work. Other aspects also make worthy contributions to its success.	awkward, unpleasant, covetous, envious, green-eyed, jaundiced, jealous, resentful,unjust, prejudicial, discriminatory, offensive, detrimental
lethargic		affected by lethargy; sluggish and apathetic.	1) The patient was weak and lethargic.	sluggish, torpid, languid, indolent, phlegmatic, dull, inactive, inert, quiescent, sleepy,
metaphorical		characteristic of or relating to metaphor; figurative.	Many of our metaphorical expressions develop from our perceptions of the body.	fugurative, analogous, allegorical, symbolic, emblematic
mimic		imitate (someone or their actions or words), especially in order to entertain or ridicule.		burlesque, caricature, parody, travesty, imitate, mock, send up, spoof,
numinous	numin/numen = divine, spirit	having a strong religious or spiritual quality; indicating or suggesting the presence of a divinity.	Her poetry is filled with a numinous beauty.	spiritual, religious, divine, magic, magical, mystic, occult, weird,
obscure (adj)		1. not discovered or known about; uncertain.  2. not clearly expressed or easily understood.	He was born about 1650, though his origins and parentage remain obscure. obscure references to Proust.	unclear, uncertain, unknown, doubtful, dubious, mysterious, hazy, vague, indeterminate, concealed, hiddenabstruse, recondite, arcane, esoteric, enigmatic, mystifying, puzzling, perplexing, baffling,
overt	From French ovrir (to open)	done or shown openly; plainly apparent.	They carried out both overt and covert military actionsIn untreated cases, overt psychosis may occur	undisguised, unconcealed, plain to see, plainly seen, plain, clear, apparent, conspicuous, unmistakable, obvious, noticeable, observable, visible, manifest
pellucid	per + lucid: thoroughly transparent or clear	translucently clear easily understood; lucid.	You shouldn't buy this pellucid piggy bank since others can clearly see your money.He writes, as always, in pellucid prose.	cogent, comprehensible, coherent, eloquent, clear, crystal, crystal clear, crystalline, limpid, liquid, lucent, see-through,
perpetuate		make (something, typically an undesirable situation or an unfounded belief) continue indefinitely	The law perpetuated the interests of the ruling class.	eternalize, immortalize, conserve, sustain, maintain, extend, commemorate
rational		based on or in accordance with reason or logic.		sensible, cogent, coherent, sagacious, prudent, shrewd, intelligent, reasonable, reasoning, thinking,
scathing		witheringly scornful; severely critical.	He unleashed a scathing attack on his former boss.	acerb, acerbic, fierce, severe, mordant, vitriolic, acid, acidic, acidulous, acrid, barbed, biting, mordant
subtle		1. (especially of a change or distinction) so delicate or precise as to be difficult to analyse or describe.  2. making use of clever and indirect methods to achieve something.	1) a subtle fragrance	artful, beguiling, astute, acute, cagey, crafty, cunning, cute, designing, devious,
superficial		1. existing or occurring at or on the surface.  2. appearing to be true or real only until examined more closely.  3. not thorough, deep, or complete; cursory.		skin-deep, surface, exterior, peripheral, apparent, specious, cursory, sketchy, desultory
acquiesce	"Looks like ac + quiesce ""agree quietly"""	accept something reluctantly but without protest.	They demanded it, and he acquiesced. She acquiesced in his decisions.	accede, tolerate, agree, assent, come round, consent, subscribe,
adroit	A droid (robot) did it! These droids are so skillful.	clever or skillful.	1) an adroit leader   2) adroit maneuvers	adept, dexterous, deft, agile, nimble, able, capable, proficient, artful, astute, bravura, deft, delicate, dexterous, expert, masterful, masterly,
amend		1. make minor changes to (a text, piece of legislation, etc.) in order to make it fairer or more accurate, or to reflect changing circumstances.  2. improve the texture or fertility of (soil).	1) The country's constitution was amended to allow women to vote.   2) They voted to amend the law in 1920.	adapt, modify, ameliorate, better, enhance, enrich, help, improve, meliorate, perfect,
animus	animosity	1. hostility or ill feeling. 2. motivation to do something.	1) She harbored an animus toward them   2) The reformist animus came from within the party.	animosity, antagonism, antipathy, hostility, aversion, acrimony, rancour, hatred, loathing, bad blood, bitterness, enmity, gall, grudge,
apologist		a person who offers an argument in defence of something controversial.	1) the film industry's apologists [=people who write and speak in support of the film industry]	defender, advocate, proponent, apostle, backer, campaigner
astringent	The string tied too tight makes her skin contract, the bitter sticky taped over her mouth, she was forced to hear harsh insults.	causing the contraction of skin cells and other body tissues.(of taste or smell) slightly acidic or bitter.sharp or severe in manner or style.	an astringent skin lotion. fresh blackcurrants have a rather astringent flavor.his subversive and astringent humor.	severe, sharp, stern, rough, austere, caustic, mordant, sardonic, scathing, incisive, sarcastic
collaborate		produced by or involving two or more parties working together.	1) An international team of scientists collaborated on the study.	integrate, band (together), concert, concur, conjoin, conspire, cooperate, join, league,
competent		having the necessary ability, knowledge, or skill to do something successfully.	1) a competent [=capable] teacher   2) She is a competent [=adequate] portrait painter but she excels with landscapes.	proficient, adept, adroit, able, capable, equal, fit, good, qualified, suitable,
correlate		have a mutual relationship or connection, in which one thing affects or depends on another.		analogize, complement, supplement,
deride	They ridicule my derived jokes for banality	express contempt for; ridicule.	Critics derided the proposals as clumsy attempts to find a solution.	ridicule, mock, disdain, pillory, scorn, gibe, jeer, laugh (at), mock, ridicule, scout, shoot down, skewer, scoff at
dictate		state or order authoritatively.say or read aloud (words to be typed, written down, or recorded on tape).	The tsar's attempts to dictate policyI have four letters to dictate	decree, command, ordain, promulgate, call, command, decree, direct, mandate, order,
discreet		careful and prudent in one's speech or actions, especially in order to keep something confidential or to avoid embarrassment.	"""Can you be discreet and keep this secret?"" She's looking good in black suit, styled hair and discreet (but still obvious) makeup."	careful, circumspect, wary, tactful, diplomatic, prudent, intelligent, judgmatic, judicious, prudent,
divorced		separate or dissociate (something) from something else, typically with an undesirable effect.		separated, alienate, dissever, marriageable, unpaired, fancy-free, footloose, single, unattached, unmarried,
elitist		relating to or supporting the view that a society or system should be led by an elite.		aristocratic, high-hat, persnickety, potty, ritzy, snobbish, snobby, snooty,
exacting		making great demands on one's skill, attention, or other resources.	1) an exacting process/teacher/task   2) He has very exacting standards/requirements.	choosy, demanding, onerous, arduous, laborious, fastidious, finical, finicking, finicky, dainty, delicate,
flummoxed		bewildered or perplexed.	"""Seems to know as much about the inside of my larders as I do myself!"" thought Mr. Baggins, who was feeling positively flummoxed…"	perplexed, addled, baffled, confound, bamboozled, beat, befogged, befuddled, bemused, bewildered,
fruitful		producing good or helpful results; productive.	1) fruitful soil	constructive, worthwhile, gainful, cornucopian, fat, fecund, fertile, fructuous, lush, luxuriant, productive,
inborn		existing from birth.	1) Humans have the inborn [=innate] ability to adapt.   2) She has an inborn talent for music.   3) That kind of knowledge is acquired, not inborn.	built-in, innate, congenital, inherent, connate, constitutional, constitutive, essential, hardwired, immanent, inbred, indigenous,
polymath		a person of wide knowledge or learning.	He was a polymath and was offered a history scholarship before opting for medicine	polyhistor, Renaissance man, Renaissance woman, brain, brainiac, genius, intellect, thinker,
reticent		not revealing one's thoughts or feelings readily.	She was extremely reticent about her personal affairs.	taciturn, introverted, reserved, modest, close, closemouthed, dark, secretive, tight-mouthed, uncommunicative,
stringent	Strings must be drawn tight, to be strict and precise	(of regulations, requirements, or conditions) strict, precise, and exacting.	1) stringent training   2) stringent budgetary constraints	firm, rigid, rigorous, severe, exacting, draconian, brassbound, cast-iron, exacting, hard-line, inflexible, strict,
subservient	sub + servant	prepared to obey others unquestioningly.	She left her first husband because all he wanted was a subservient [=submissive] wife.	submissive, compliant, acquiescent, fawning, auxiliary, meek, docile, ductile, kowtowing, obeisant, obsequious, servile, slavish, subordinate, amenable,
surreptitious	Syrupy tissues were the secret evidence that he ate the syrup cakes.	kept secret, especially because it would not be approved of.	Rory tried to sneak a surreptitious glance at Adam's wristwatch.	clandestine, covert, furtive, stealthy, concealed, backstairs, behind-the-scenes, hole-and-corner, hugger-mugger, hush-hush,
tantalizing		tormenting or teasing with the sight or promise of something unobtainable.	She was tantalized by the possibility of earning a lot of money quickly.	enticing, tempting, tormenting, bait, lure, intrigue, allure, beguile, absorbing, arresting, engrossing, enthralling, galvanic, gripping,
tantamount	Tan to this amount is equivalent to sunburn.	equivalent in seriousness to; virtually the same as.	The resignations after the antisetimism scandals were tantamount to an admission of guilt.	virtual, akin, alike, analogous, cognate, comparable, connate, correspondent,
torpor		a state of physical or mental inactivity; lethargy.	He spent most of the long journey in a state of torpor.	apathy, dormancy, stagnant, lazy, indolence, fatigue, lassitude, casualness, complacence, disinterestedness, disregard, incuriosity, incuriousness, indifference,
trenchant	The trench was full of ants (trenchant) marching vigorously, expressing strong criticism.	vigorous or incisive in expression or style.	She heard angry voices, not loud, yet certainly trenchant.He made trenchant criticisms of her style of leadership.	incisive, penetrating, cutting, piercing, keen, acute, vigorous, blunt, mordant, pungent, caustic, edged, edgy, ground, honed, keen, sharp, sharpened,
umbrage	Umbrella (shadow) + rage. The umbrella felt raged. It was offended by what he said.	offence or annoyance	She took umbrage at his assumption that she must speak Hindi if she is Indian.	dudgeon, huff, miff, offense, peeve, pique, resentment,
versatile		able to adapt or be adapted to many different functions or activities.	1) She is a versatile athlete who participates in many different sports.	adaptable, flexible, resourceful, multi-purpose, all-around, protean, universal,
wayward		difficult to control or predict because of wilful or perverse behaviour.	1) a wayward child	balky, contrary, contumacious, defiant, disobedient, froward, incompliant, insubordinate,
alienate		make (someone) feel isolated or estranged.	He alienated most of his colleagues with his bad temper. Her position on this issue has alienated many former supporters.	estrange, isolated, sever, alien, disaffect, disgruntle, sour,
apathy	a + pathy = without feeling	lack of interest, enthusiasm, or concern.	He also signalled the need for politicians to combat public apathy by re-establishing trust.	phlegm, languor, lassitude, torpor, affectlessness, emotionlessness, impassiveness, impassivity, insensibility, numbness,
apropos	à propos ‘(with regard) to (this) purpose. || appropriate.	(prep) with reference to; concerning.(adj) very appropriate to a particular situation.	She remarked apropos of the initiative, “It's not going to stop the abuse.”The song feels apropos to a midnight jaunt.	applicable, pertinent, apt, apposite, germane, felicitous, material, pointed, relative, relevant,
apt	Apt students are likely to make fitting remarks and show how they are quick to learn.	appropriate or suitable in the circumstances. having a tendency to do something.quick to learn.	This is an apt place to celebrate the end of a great walk.Men left to themselves are apt to get a mite slipshod about meals He proved an apt learner on the job	suitable, fitting, appropriate, befitting, relevant, felicitous, congruous, fit, applicable, judicious, apposite, aproposinclined, likely, liable, disposed, predisposed, prone, ready, tending, subject,clever, quick, bright, sharp, quick to learn, smart, intelligent
cloak		1. a sleeveless outdoor overgarment that hangs loosely from the shoulders. 2. something serving to hide or disguise something.		cape, robe, mask, camoflauge, blanket, cope, cover, covering, coverture, cover-up, curtain, hood,
consensus		a general agreement.	1) the consensus of their opinion, based on reports … from the border	accord, agreement, concord, harmony, solidarity, concurrence, concurrency, unanimity, unison,
distort		1. pull or twist out of shape. 2. give a misleading or false account or impression of. 3. change the form of (an electrical signal or sound wave) during transmission, amplification, or other processing.	1) distorted the facts	twist, contort, deform, gnarled, crooked, bend, color, cook, falsify, fudge, garble, misinterpret, misrelate,
divergent		tending to be different or develop in different directions.	Varieties of English can remain astonishingly divergent from one another	disparate, contrasting, disproportionate, unequal, different, dissimilar, distant, distinct, distinctive,
elated		make (someone) ecstatically happy.	1) She was elated at/about/over the news.   2) She was elated to be chosen for the job. = She was elated that she was chosen for the job.	ecstatic, exhilarated, jubilant, rapturous, elevated, enrapt, enraptured, entranced, euphoric, giddy,
enchant		1. fill (someone) with great delight; charm. 2. put (someone or something) under a spell; bewitch.	1) The book has enchanted children for almost a century.   1) The beauty of the place enchants.	allure, beguile, bewitch, captivate, enthral, ensnare, charm, fascinate, kill, magnetize,
entrenched		(of an attitude, habit, or belief) firmly established and difficult or unlikely to change; ingrained.	Officials tended to cling to entrenched [=ingrained] beliefs.	established, firm, indelible, bred-in-the-bone, confirmed, deep, deep-rooted, deep-seated, hard-core, inveterate, rooted,
exotic		1. originating in or characteristic of a distant foreign country. 2. attractive or striking because colourful or out of the ordinary.		foreign, alien, imported, striking, colorful, unusual, bizarre, extravagant, outlandish, peculiar, fantastic, glamorous, marvelous, outlandish, romantic, strange,
exploitative		making use of a situation or treating others unfairly in order to gain an advantage or benefit.		abuse, manipulate, swindle, fleece
foreseeable		able to be foreseen or predicted.	1) foreseeable problems   2) foreseeable consequences	certain, destined, expected, fixed, foreordained, foreseen, inevitable, predestined,
forsake	For the sake of the communal welfare, he gave up his inheritance for donation.	abandon or leaverenounce or give up (something valued or pleasant)	She forsook her child, giving him up for adoption I won't forsake my vegetarian principles.	abandon, desert, leave, shunned, jilted, desolate, solitary, maroon, quit, strand,
gratify	give someone gratitude (=please) + satisfy	give (someone) pleasure or satisfactionindulge or satisfy (a desire)	It gratified him to have his wife wear jewels Not all the sexual impulses can be gratified.	please, gladden, give pleasure to, delight,  satisfy, gladden, thrill, appease, relieve, satiate, pacify, cater (to), humor, indulge,
heed		pay attention to; take notice of.		advertence, advertency, attention, awareness, cognizance, consciousness, ear, eye,
judicious	with good judgment	having, showing, or done with good judgement or sense.	The judicious use of public investment was welcomed by many	discreet, intelligent, judgmatic, prudent, shrewd, astute, canny, sagacious, perceptive, discerning, rational
lucid		expressed clearly; easy to understand.	1) a lucid explanation   2) lucid prose	comprehensible, cogent, coherent, articulate, beaming, bedazzling, bright, brilliant, candescent, clear, dazzling, effulgent,
pertinent		relevant or applicable to a particular matter; apposite.	1) a pertinent question   2) His comments weren't pertinent (to the discussion).	relevant, germane, apt, appropos, applicable, apposite, apropos, germane, material, pointed, relative,
